iter	Passed	Remaining
367	1161	1995
368	1163	1990
369	1166	1985
370	1168	1981
371	1171	1977
372	1174	1973
373	1177	1970
374	1178	1964
375	1180	1959
376	1183	1956
377	1186	1952
378	1190	1950
379	1194	1948
380	1197	1944
381	1200	1941
382	1204	1939
383	1208	1938
384	1211	1934
385	1214	1931
386	1217	1929
387	1221	1926
388	1224	1922
389	1226	1919
390	1230	1916
391	1236	1917
392	1239	1914
393	1243	1913
394	1249	1914
395	1254	1913
396	1258	1911
397	1261	1907
398	1266	1908
399	1270	1905
400	1273	1901
401	1276	1898
402	1281	1898
403	1284	1895
404	1288	1893
405	1291	1890
406	1296	1889
407	1299	1886
408	1303	1883
409	1306	1879
410	1308	1875
411	1313	1875
412	1317	1873
413	1320	1869
414	1323	1865
415	1327	1864
416	1331	1861
417	1334	1858
418	1337	1854
419	1339	1850
420	1345	1850
421	1349	1847
422	1351	1844
423	1354	1840
424	1358	1838
425	1362	1835
426	1366	1833
427	1368	1829
428	1371	1825
429	1377	1825
430	1382	1825
431	1385	1821
432	1388	1818
433	1392	1816
434	1398	1816
435	1402	1814
436	1406	1812
437	1410	1809
438	1413	1805
439	1414	1800
440	1419	1799
441	1423	1796
442	1425	1792
443	1428	1788
444	1430	1784
445	1435	1783
446	1438	1779
447	1441	1776
448	1444	1772
449	1446	1768
450	1451	1766
451	1453	1762
452	1456	1758
453	1458	1754
454	1461	1750
455	1464	1747
456	1467	1743
457	1470	1739
458	1472	1735
459	1475	1731
460	1478	1728
461	1481	1724
462	1483	1720
463	1486	1716
464	1488	1712
465	1491	1709
466	1494	1705
467	1497	1701
468	1499	1697
469	1502	1693
470	1504	1689
471	1507	1686
472	1510	1682
473	1513	1678
474	1515	1675
475	1518	1671
476	1520	1667
477	1523	1663
478	1526	1660
479	1528	1656
480	1531	1652
481	1533	1648
482	1536	1644
483	1539	1641
484	1541	1637
485	1544	1633
486	1546	1629
487	1549	1625
488	1552	1621
489	1556	1619
490	1559	1616
491	1562	1613
492	1565	1609
493	1568	1606
494	1572	1604
495	1575	1601
496	1578	1597
497	1581	1594
498	1584	1590
499	1587	1587
500	1589	1583
501	1592	1579
502	1595	1576
503	1598	1573
504	1601	1570
505	1604	1566
506	1607	1562
507	1610	1559
508	1613	1556
509	1615	1552
510	1618	1548
511	1621	1545
512	1623	1541
513	1626	1538
514	1629	1534
515	1632	1531
516	1634	1527
517	1637	1523
518	1640	1520
519	1643	1516
520	1646	1513
521	1648	1509
522	1651	1505
523	1653	1502
524	1656	1498
525	1659	1495
526	1662	1492
527	1664	1488
528	1667	1484
529	1670	1481
530	1673	1477
531	1675	1474
532	1678	1470
533	1680	1466
534	1683	1463
535	1686	1459
536	1690	1457
537	1692	1453
538	1695	1450
539	1697	1446
540	1700	1442
541	1703	1439
542	1706	1435
543	1708	1432
544	1711	1428
545	1713	1424
546	1716	1421
547	1719	1417
548	1721	1414
549	1724	1410
550	1726	1406
551	1729	1403
552	1733	1401
553	1737	1398
554	1740	1395
555	1742	1391
556	1745	1388
557	1748	1385
558	1752	1382
559	1755	1379
560	1757	1375
561	1761	1372
562	1765	1370
563	1767	1366
564	1770	1363
565	1773	1359
566	1775	1356
567	1779	1353
568	1781	1349
569	1784	1346
570	1786	1342
571	1789	1338
572	1792	1335
573	1795	1332
574	1798	1329
575	1800	1325
576	1803	1321
577	1805	1318
578	1808	1315
579	1811	1311
580	1813	1307
581	1816	1304
582	1818	1300
583	1821	1297
584	1824	1294
585	1827	1290
586	1829	1287
587	1832	1283
588	1835	1280
589	1837	1277
590	1840	1273
591	1843	1270
592	1846	1267
593	1848	1263
594	1851	1260
595	1854	1257
596	1857	1253
597	1859	1250
598	1862	1246
599	1864	1243
600	1867	1239
601	1870	1236
602	1872	1233
603	1874	1229
604	1877	1225
605	1879	1222
606	1882	1218
607	1885	1215
608	1888	1212
609	1890	1208
610	1893	1205
611	1895	1201
612	1898	1198
613	1901	1195
614	1903	1191
615	1907	1189
616	1910	1186
617	1913	1183
618	1917	1180
619	1920	1177
620	1923	1173
621	1926	1170
622	1929	1167
623	1932	1164
624	1934	1160
625	1937	1157
626	1940	1154
627	1943	1151
628	1945	1147
629	1948	1144
630	1951	1140
631	1953	1137
632	1956	1134
633	1959	1131
634	1961	1127
635	1964	1124
636	1967	1120
637	1969	1117
638	1972	1114
639	1975	1111
640	1978	1107
641	1980	1104
642	1983	1101
643	1986	1098
644	1989	1094
645	1991	1091
646	1994	1088
647	1997	1084
648	2000	1081
649	2002	1078
650	2005	1075
651	2008	1071
652	2010	1068
653	2013	1065
654	2016	1062
655	2019	1058
656	2021	1055
657	2024	1052
658	2026	1048
659	2029	1045
660	2032	1042
661	2034	1038
662	2037	1035
663	2039	1032
664	2042	1028
665	2045	1025
666	2047	1022
667	2050	1019
668	2052	1015
669	2055	1012
670	2058	1009
671	2060	1005
672	2063	1002
673	2066	999
674	2068	996
675	2071	992
676	2074	989
677	2077	986
678	2079	983
679	2083	980
680	2086	977
681	2088	973
682	2092	971
683	2094	967
684	2097	964
685	2101	961
686	2104	958
687	2107	955
688	2110	952
689	2112	949
690	2115	945
691	2118	942
692	2121	939
693	2124	936
694	2127	933
695	2129	930
696	2132	926
697	2135	923
698	2137	920
699	2140	917
700	2142	914
701	2145	910
702	2148	907
703	2151	904
704	2153	901
705	2156	897
706	2158	894
707	2161	891
708	2164	888
709	2166	885
710	2169	881
711	2172	878
712	2175	875
713	2178	872
714	2181	869
715	2183	866
716	2186	862
717	2188	859
718	2191	856
719	2194	853
720	2197	850
721	2200	847
722	2202	843
723	2205	840
724	2207	837
725	2210	834
726	2213	831
727	2215	827
728	2218	824
729	2220	821
730	2223	818
731	2226	815
732	2229	812
733	2231	808
734	2234	805
735	2236	802
736	2239	799
737	2242	796
738	2245	792
739	2247	789
740	2250	786
741	2253	783
742	2255	780
743	2258	777
744	2262	774
745	2265	771
746	2268	768
747	2271	765
748	2274	762
749	2277	759
750	2281	756
751	2285	753
752	2289	750
753	2291	747
754	2294	744
755	2297	741
756	2300	738
757	2303	735
758	2305	732
759	2308	728
760	2311	725
761	2313	722
762	2316	719
763	2319	716
764	2321	713
765	2324	710
766	2327	706
767	2330	703
768	2332	700
769	2335	697
770	2337	694
771	2340	691
772	2343	688
773	2346	685
774	2348	681
775	2351	678
776	2353	675
777	2356	672
778	2359	669
779	2362	666
780	2364	663
781	2367	659
782	2370	656
783	2372	653
784	2375	650
785	2378	647
786	2380	644
787	2383	641
788	2386	638
789	2389	635
790	2391	631
791	2394	628
792	2396	625
793	2399	622
794	2402	619
795	2405	616
796	2407	613
797	2409	609
798	2412	606
799	2414	603
800	2417	600
801	2420	597
802	2422	594
803	2425	591
804	2427	588
805	2430	585
806	2433	581
807	2437	579
808	2440	576
809	2442	573
810	2445	569
811	2448	566
812	2452	564
813	2454	560
814	2457	557
815	2460	554
816	2462	551
817	2465	548
818	2468	545
819	2470	542
820	2473	539
821	2476	536
822	2479	533
823	2482	530
824	2484	527
825	2487	523
826	2490	520
827	2493	517
828	2495	514
829	2498	511
830	2500	508
831	2503	505
832	2506	502
833	2509	499
834	2511	496
835	2514	493
836	2517	490
837	2519	487
838	2522	484
839	2525	481
840	2527	477
841	2530	474
842	2532	471
843	2535	468
844	2538	465
845	2541	462
846	2543	459
847	2546	456
848	2549	453
849	2551	450
850	2554	447
851	2556	444
852	2559	441
853	2561	437
854	2564	434
855	2567	431
856	2569	428
857	2572	425
858	2575	422
859	2577	419
860	2580	416
861	2583	413
862	2585	410
863	2588	407
864	2590	404
865	2593	401
866	2595	398
867	2599	395
868	2601	392
869	2604	389
870	2606	386
871	2609	383
872	2614	380
873	2617	377
874	2619	374
875	2622	371
876	2626	368
877	2629	365
878	2632	362
879	2634	359
880	2637	356
881	2641	353
882	2643	350
883	2646	347
884	2648	344
885	2651	341
886	2654	338
887	2657	335
888	2659	332
889	2662	329
890	2664	326
891	2667	322
892	2670	319
893	2673	316
894	2676	313
895	2678	310
896	2681	307
897	2683	304
898	2686	301
899	2689	298
900	2691	295
901	2694	292
902	2696	289
903	2699	286
904	2702	283
905	2704	280
906	2707	277
907	2709	274
908	2712	271
909	2715	268
910	2718	265
911	2721	262
912	2723	259
913	2726	256
914	2729	253
915	2732	250
916	2734	247
917	2737	244
918	2739	241
919	2742	238
920	2745	235
921	2747	232
922	2750	229
923	2752	226
924	2755	223
925	2758	220
926	2760	217
927	2763	214
928	2766	211
929	2768	208
930	2770	205
931	2773	202
932	2776	199
933	2779	196
934	2781	193
935	2784	190
936	2786	187
937	2791	184
938	2794	181
939	2797	178
940	2800	175
941	2803	172
942	2806	169
943	2809	166
944	2813	163
945	2815	160
946	2819	157
947	2822	154
948	2825	151
949	2829	148
950	2832	145
951	2835	142
952	2838	140
953	2841	137
954	2844	134
955	2846	131
956	2850	128
957	2852	125
958	2855	122
959	2857	119
960	2860	116
961	2863	113
962	2865	110
963	2868	107
964	2871	104
965	2873	101
966	2876	98
967	2879	95
968	2882	92
969	2884	89
970	2887	86
971	2889	83
972	2892	80
973	2895	77
974	2897	74
975	2900	71
976	2903	68
977	2905	65
978	2908	62
979	2911	59
980	2913	56
981	2916	53
982	2918	50
983	2921	47
984	2924	44
985	2927	41
986	2929	38
987	2932	35
988	2934	32
989	2937	29
990	2940	26
991	2942	23
992	2945	20
993	2947	17
994	2950	14
995	2953	11
996	2955	8
997	2958	5
998	2961	2
999	2963	0
